測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
10210010,2019/01/01,01,,0,0.003,0.003,,0.031,,,,0.003,0,,,,,
10210010,2019/01/01,02,,0,0.002,0.002,,0.032,,,,0.004,0,,,,,
10210010,2019/01/01,03,,0,0.001,0.001,,0.032,,,,0,-4,,,,,
10210010,2019/01/01,04,,0,0.001,0.001,,0.033,,,,0.004,-2,,,,,
10210010,2019/01/01,05,,0,0.001,0.001,,0.033,,,,0,-1,,,,,
10210010,2019/01/01,06,,0,0.001,0.001,,0.034,,,,0,2,,,,,
10210010,2019/01/01,07,,0,0.001,0.001,,0.032,,,,0.002,4,,,,,
10210010,2019/01/01,08,,0,0.002,0.002,,0.031,,,,0.008,4,,,,,
10210010,2019/01/01,09,,0,0.002,0.002,,0.032,,,,0,-4,,,,,
10210010,2019/01/01,10,,0,0.001,0.001,,0.035,,,,0,-5,,,,,
10210010,2019/01/01,11,,0,0.001,0.001,,0.038,,,,0,3,,,,,
10210010,2019/01/01,12,,0,0.001,0.001,,0.040,,,,0,2,,,,,
10210010,2019/01/01,13,,0,0.001,0.001,,0.040,,,,0.006,-3,,,,,
10210010,2019/01/01,14,,0,0.001,0.001,,0.040,,,,0,-1,,,,,
10210010,2019/01/01,15,,0,0.001,0.001,,0.041,,,,0,0,,,,,
10210010,2019/01/01,16,,0,0.001,0.001,,0.041,,,,0.003,-1,,,,,
10210010,2019/01/01,17,,0,0.002,0.002,,0.039,,,,0,0,,,,,
10210010,2019/01/01,18,,0,0.007,0.007,,0.025,,,,0.007,-1,,,,,
10210010,2019/01/01,19,,0,0.008,0.008,,0.024,,,,0.002,-8,,,,,
10210010,2019/01/01,20,,0,0.006,0.006,,0.021,,,,0.003,2,,,,,
10210010,2019/01/01,21,,0.001,0.006,0.007,,0.019,,,,0,-2,,,,,
10210010,2019/01/01,22,,0,0.005,0.005,,0.021,,,,0,1,,,,,
10210010,2019/01/01,23,,0,0.005,0.005,,0.019,,,,0.005,2,,,,,
10210010,2019/01/01,24,,0,0.007,0.007,,0.016,,,,0.003,2,,,,,
10210010,2019/01/02,01,,0,0.007,0.007,,,,,,0,2,,,,,
10210010,2019/01/02,02,,0,0.008,0.008,,0.011,,,,0.005,4,,,,,
10210010,2019/01/02,03,,0,0.005,0.005,,0.015,,,,0,0,,,,,
10210010,2019/01/02,04,,0,0.003,0.003,,0.022,,,,0.004,0,,,,,
10210010,2019/01/02,05,,0,0.002,0.002,,0.031,,,,0,0,,,,,
10210010,2019/01/02,06,,0,0.002,0.002,,0.030,,,,0,2,,,,,
10210010,2019/01/02,07,,0,0.002,0.002,,0.030,,,,0,4,,,,,
10210010,2019/01/02,08,,0,0.002,0.002,,0.032,,,,0,2,,,,,
10210010,2019/01/02,09,,0,0.002,0.002,,0.036,,,,0,2,,,,,
10210010,2019/01/02,10,,0,0.002,0.002,,0.038,,,,0,1,,,,,
10210010,2019/01/02,11,,0,0.002,0.002,,0.039,,,,0.006,0,,,,,
10210010,2019/01/02,12,,0,0.002,0.002,,0.039,,,,0,1,,,,,
10210010,2019/01/02,13,,0,0.002,0.002,,0.041,,,,0,-1,,,,,
10210010,2019/01/02,14,,0,0.001,0.001,,0.042,,,,0,1,,,,,
